Tweets,label
 I can only imagine that the people who are furious about the American lives lost in Benghazi (4) are absolutely apoplecti…,1
" Thread:In light of the recent media &amp; CDC reports that only 9,210 deaths have only covid as the cause, let’s take a loo…",1
" Thank you Allahabad High Court, but this reflects very poorly on Indian judiciary that it took the court 7 months to decid…",-1
"  it is happening now with Brightspace, where Teachers are supposed to learn about Covid... must be done by the end of the day, but I can't even start!",0
DEMONSTRATION OF HOW FAR DROPLETS CAN SPREAD FROM OUR MOUTHS LINK it shows up to 12 feet   if your sending your kids to school expect them to be exposed and even have it on their bodies and items. Box at bottom right shows demo,1
" Albertans are getting grifted so hard by this UCP gov’t.  No $ for public education or healthcare or even COVID relief, bu…",-1
 Is this a joke?  Is this photo real. He must be scared shitless of getting covid. The optics on this are horrible. I do not understand why they’d allow this as it looks ridiculous and paints a very dire picture of his popularity.,-1
" Do you want to network, learn and share with other volunteer involving organisations? We have organised some free COVID…",1
       one day someone will listen FCI Terminal Island has a…,0
 It's time Biden used FASCIST and as well tag Trump for world leading COVID deaths    Murder ?Gentle ways will not  work ,1
" Did you know that at Eton College  was nicknamed ""The Milky Bar Kid"" so violent they penned a song Hey, He…",-1
" DON’T TAKE EYES OFF WH &amp; COVID— WH just named a crazy Fox News talking head to be WH pandemic advisor. Scott Atlas, neurora…",-1
" U.S. laboratories are not just struggling to secure desperately needed supplies for Covid-19 screenings, they need supplies t…",-1
" In response to Covid, the Govt took actions that caused at least tens of thousands of avoidable deaths To accept this…",-1
 MSM are also idiots who can't focus on the main reason we are in this disaster. Trump botched COVID-19 from the jump by defunding the PREDICT program which caught and contained 160 strains of coronavirus over 10 years. ,-1
" ""Trump is a coward. He hides from COVID. He refuses to confront Putin about bounties. He refuses to criticize killers who supp…",0
Trump’s effort at projecting responsibility for civil unrest onto Biden is failing to gain traction! Why? Because Biden is not the President! Trump must OWN the failures of his administration: COVID-19; economic recession; massive unemployment; racial unrest and civil unrest!!,1
  the race is tightening.  Trump is closing the gap by scaring white voters and the violence is working.  White…,0
" It's a shame, but totally understandable considering the recent circumstances, that COVID Truthers got booted out in the first round so I hope they're entered into the 2021 tournament for one more run.",1
" With $30,000,000  joins the fight against Covid19 globally————Partners",0
"Susant Kumar Rout, the MLA of Bhubaneswar (North) constituency has tested positive for COVID-19. Odisha OdishaNews OmmcomNews  ",1
" BiharFightsCorona Update of the day. 1,928 more COVID19 +ve cases have been reported so far on 31st August. Taking…",1
 The Ohio State University Wexner Medical Center is starting a clinical trial for a COVID-19 vaccine. It is looking for 500 adults…,-1
 I'm actually starting to feel more afraid of catching covid now than I did during it's peak. People are letting their…,1
" New study from France: “Our data show that the chances of increasing to more severe disease increases with BMI, to the…",1
 AFL boss Gillon McLachlan &amp; his family flew out of COVID hotspot Melbourne direct to Brisbane today and is entering th…,1
"        ""Check back in September"" LaterTwitterCOVID deaths:FL: 11,189MI: 6,753COVID deaths per 1M:MI: 676.2USA: 573.8FL: 521.0Florida is still doing better than Michigan (and the overall US!) despite being the 4th oldest, and 8th densest state. ",1
" “You have our full support as you continue to lead the African Development Bank through this Covid-19 period, marked b…",1
"Covid was a wake up call. It called us to pay attention to:FOOD. FAITH. FAMILY. FRIENDS. FOLKS.Whether you were stranded at home or yonder,  these 5 became your mainstay.If you have not discovered how important these 5 graces are, you are of all the most miserable. Find God",-1
 COVID VACCINE ,0
 The Chinese could sue the Finance Minister NirmalaSitharaman for attributing COVID__19 to God.We made it....,0
" SHOCK REPORT: This Week CDC Quietly Updated COVID-19 Numbers – Only 9,210 Americans Died From COVID-19 Alone – Rest Had Di…",0
"Journey and accomodation in this covid -19 pandemic,they are were scared of corna and now they are waiting for internet ....You are destroying some student health and some student career..SpeakUpForSSCRailwayStudents NEET_JEE",-1
"Eating healthy can be nutritious and delicious. Find recipes that not good for your taste buds, but also for your health. Eating healthy reduces your chances of heart disease, breast cancer, and COVID-19 healthyfood… ",1
"There have been 17,042 patients who have reportedly recovered from the virus, about 83% of the total reported cases.MORE INFO ??",0
 Outstanding work by two bright young IAS officers sent urgently to Ganjam district during the height of pandemic. Spl ADMs P…,1
 The dumbest part about this talking point is that the CDC report literally just studied what was written on the death cert…,0
" So, time to throw myself back into Twitter - Been rather remiss in my attendance lately what with work, Covid-19 &amp; try…",-1
" No Social Distancing at Examination Centre’, ‘Lack of Hand Gloves’ and More, Students Raise Concerns on Twitter Over NTA’s…",1
 Covid 20 Pro?,0
" Absolute insanity on BBCRadio2 has they had a full blown Mask-Deniar and Covid Conspiracy woman on as an ""expert"".Thi…",1
 US Shale: A Survival Guide to Covid and Climate  Join the debate at the Energy Intelligence Forum as w…,0
 I’ve been saying this shit since March (or February it’s all a blur) but if YOU are afraid of Covid feel free to do whateve…,-1
Are the  in shops e.g spar back to normal working hours or they still doing 9am till 5pm and blaming covid for this?,1
Do people actually know how serious Covid is? I don’t think they actually do. If you get it every organ in your body is affected and damaged. You can literally bleed internally even after you supposedly beat the virus. It’s been happening. My god wake up. Wear a mask! Vote Blue!,-1
" Prof David Barber, Director of Education &amp; Training, London, sends out his heartfelt wishes and appreciation to all Ja…",0
COVID-19 is just a small flu!!!,-1
"Thanks, Covid ",1
" According to the twisted logic of  and  (aka: ""Bullshit Barbie), if someone with underlying condit…",-1
" Researchers say strong ventilation indoors should join handwashing, masking and social distancing as measures to reduce the risk o…",1
"   covid 19 vaccine :1..open (100 pharmacies for licensed produktion of streptomicyn sulfate,for a peri…",0
 LATEST REPOFROM RUSSIA: Despite Covid-19 the team in Russia working to control the poaching of Amur tiger and Am…,1
 SushantCaseBreakThrough | Biggest breakthrough in alleged drug angle in SSR case. Listen in: Shruti Modi’s lawyer pins bla…,-1
 Jesmyn Ward on Her Husband’s Death and Grief During COVID-19 | Vanity Fair ?  ,-1
 Heard during covid some dudes was charging 90,0
 Among many others: What does the restart of tourism mean???Building a sustainable and responsible travel experience that is sa…,1
"Trade tensions, secular trends and COVID-19 add up to a multipolar world. Here's what it means for investors. ",0
 KIng  IncompetanceMade NYC Covid Epicenter - Created NYC w/30% unemplmt - Allowed riots &amp; huge cr…,1
" BTS MEMORIES OF 2019 GIVEAWAY? begins: sunday, july 19th, 2020? ends: saturday, sept. 5th, 2020? pre-order begins jul…",0
"Scoot modifies A320 aircraft, removing passenger seats to double cargo capacity - CNA -  via ",0
"Not only does Tony Abbott oppose any measures to stop the spread of Covid, but he also opposes the idea of treating people with it. This guy was the Prime Minister of Australia just a few years ago... ",-1
 Many of the centres not maintained the SOPs. And also I saw one person one hand without any gloves??distributing face masks…,1
" From some of the comments about COVID, I understand why the US lags other countries when it  comes to education.",-1
 holy shit. it is TONEY TIME in the uk. it is toney time reaching into another dimension ,-1
"  I thousand Americans a day are dying because you have been an incompetent leader!20,000 cases of Covid in universities and colleges so far",-1
" India has ordered for national exams to be undertaken tomorrow despite recording 80,000 Covid-19 cases yesterday. The governm…",0
 An ousted Florida data scientist created a dashboard to track Covid-19 in US schools. She tells  she built…,0
 A chance to have a meeting with you (over the Internet obvs cause of COVID) to show designs for a  formal collection,0
Schools across Europe are reopening as summer break ends and governments insist that students return to the classroom after months of online learning due to the coronavirus pandemic.,-1
" In March 2020, bitcoin crashed as part of a broad market sell-off in response to Covid-19 pandemic concerns and preventio…",1
 ??GLOBALIST CENSORSHIP??Truth doesn’t change just because Globalist big tech companies and MSM puppets don’t want us hear…,0
" ? NewYork, NYOver 150 New York independent venues have formed a new group to advocate for aid so they can s…",1
" Only 6% of the ""COVID"" deaths are real according to CDC.Masks OFFSchools OPEN",1
 Suffering From Covid-19????Master ||  ,0
" This is our WA COVID-19 update for Tuesday, 1 September 2020. For official information regarding COVID-19 in Western A…",0
" Due to the current focus on responding to COVID-19, we are delaying the opening of the 2020 Parents and Grandparents (PGP) Program. Details on the opening of PGP will be shared once they are available. ",1
 UK suicide rate is higher than UK’s Covid death rate.,1
 The Covid trend in Africa is looking very positive: 20% fall in cases in the last 7 days. Even in South Africa - the wo…,1
"   Oh Diane, you’re so funny. America is burning, people are dying from Covid, the economy’s in the toilet, unemployment is at an all-time high and you’re worried about whether or not Biden can stay awake. You’re backing the wrong horse, honey!",-1
 before Covid...like when dinosaurs walked the earth...,0
 McKenzie COVID Police were out and about today. Doing our daily check up on our guys. MakingBethelSafeAgainNotUpInHer…,0
The Department of Life Sciences at  will be running an online series of seminars covering the state of the art research on Covid-19. The first seminary will be by Prof. Davey Jones and anyone can follow from this link  ,1
"If anyone wants to try and calculate how many lives were cost by the UK's delayed introduction of lockdown, this US paper finds that ""advancing the date of [non-pharmaceutical intervention] adoption by one day lowers the COVID-19 death rate by 2.4 percent"" ",1
 New CDC report shows 94% of US COVID deaths had contributing conditions. Here's what that means ,1
 Sub-Saharan Africa: 426 children per day at risk of death from hunger following the impact of COVID-19 | Somalia | Save the…,0
 What nobody expected was the actual speed of the transition.  This stuff with covid-19 threw an accelerant on the fossil fuel industry's slow burn off and sped up its eventual collapse.I started watching Tesla and Tesla's stock less than a year ago... the change has been wild.,-1
" COVID has ended in Europe. What is surprising, in a good way, is that weekly excess deaths are currently below 2018 and…",1
 Please explain where us normal brides &amp; grooms are going wrong??? Is it the white dress that makes COVID come through the d…,-1
" You should probably sit this one out, ghost of Herman Cain, killed by covid-19",-1
" This table, which puts the s in context, shows significant improvement in the top 5 Counties as of 8/30 in terms of Covid cases. Tap to show the entire table below. Dekalb dropped out of the red zone as did 2 other counties.     ",1
"   If I get covid and have a stroke, then covid gave me the stroke.  I otherwise wouldn’t have one....?????",0
Wearing a mask is one of the best ways to slow down the spread of COVID-19.  We're GoodTogether BrigherLives ,1
 This COVID shit lasting like a Honda Civic,-1
" Iowa State, in the worst city for COVID-19 in the country, will let 25,000 fans attend season opener ",-1
 JusticeForNonPaidArrearStudents Some students have not paid arrear exam fees due 2 covid lockdown but Government order gives…,-1
" Scammers are now calling people saying they’re contact tracing, they’ve been in touch with someone who has COVID 19 and asking…",0
  please help us.  CancelCompartment_PromoteAll We don't want to waste our one year. Now every c…,-1
 Notice every covid policy abuses and disadvantages children. Sick. Says everything about covid bey wetters and their total se…,-1
" ""Are currently looking and recruiting for FILIPINO National Nurses located outside the Philippines. (in lieu of the He…",0
" More confirmationThe latest CDC data reveals that just 6% of people who have died of COVID-19 in the US died of coronavirus alone, while 94% of death certificates listed other diseases as well. So only 9k people listed as dying of the virus, but 150k still reported.",1
"COVID has forever changed air travel earlier this week  announced they were permanently ending change fees in most domestic fares.  &amp;  matched yesterday, and now  too, nixed the fee:  (1/2) avgeek iflyalaska",-1
" Prof David Barber, Director of Education &amp; Training, London, sends out his heartfelt wishes and appreciation to all Janasa…",0
 Breaking: Important statement from democratic presidential nominee  on COVID-19.  Video:  ,1
     Modi government created some big disaster which was not created earli…,0
I’m your beating heart in the sky! pareidolia covid_19 covid19 art text thoughts   space mask lockdown ideas contemporaryart artinlockdown dream picture photography streetphotography media photography sun sky blue clouds  heart ,0
 Clueless and moronic system-repeating Morgan gang attack Piers Corbyn for questioning ‘Covid’ narrative – no wonder when Mor…,0
" - In case you want to do another story about weddings in the time of Covid-19, check this one out on Instagram. NB the wall of hand sanitizer wedding favors:",0
"National Preparedness Month is recognized each September to promote family and community disaster planning now and throughout the year. As our nation continues to respond to COVID-19, there is no better time to be involved this September. ",-1
" Doing everything to cheat his way back into four more years. To many moving parts here with USPS, riots, Kanye West on ballots, Bill Barr behind the scenes, misinformation, lying about covid. I’m starting to think he’ll get elected. This has got to stop. BidenHarris2020",1
 Have you read our Q2 2020 report? Read it here now: Complete this quarter’s Covid-19 Economic Indi…,1
    No it doesn't mean that at all.  It means those with comorbidities are less able to fight off COVID-19 and succumb to its effects more frequently. COVID-19 is still the cause of death. ,1
" CM thinks wine shops, private buses, hotels do not spread COVID. Only temples spread  BappaUddhavKoBuddhiDo",0
 My barber before I moved is making the trip to my house on Thursday to cut my hair &amp; trim my mane. He’s a great guy. He…,1
"Pandemic grocery overbuying is costing Canadians thousands — our food waste bill has just hit $2,000 a year per household | The Star ",-1
 The more caring &amp; realistic of my grandchildren’s schools are offering schooling remotely only as they plan the complexities…,1
 1/ “Corona offline”— double meanings. One appears to be? covidisover. The hoax of covid is being unraveled. HERE was th…,0
 My 2 year old granddaughter is COVID positive. Don’t you ever tell me babies don’t get sick from this virus. I’m so ang…,-1
"  The only reason XR are protesting for 10 days is to get £400 - £500 per week each in ""expenses"". Due to C…",-1
" The Alpine School District is reporting an outbreak of novel coronavirus cases among its students and employees, and Pleasant Gr…",1
biden is using Covid in order to avoid any questions. We can't afford a President who cannot answer a simple question! ,0
"  He is my senator, I call, I write , I tweet, he represents no one but lobbyists that can get him the cash.  Never a peep from him. My dad a WW2 veteran lives in Ft Lauderdale depressed and anxious over COVID and the USA, my dad was there when Hitler started his campaign.",-1
" 800,000 kids go missing every year, but maybe 150,000 people died of COVID &amp; we spent $6,000,000,000,000 to combat itWhatIL…",-1
 How To Tell A Real COVID-19 Contact Tracer's Call From A Scammer's ,1
" It’s the first of the month and rent is due, but thousands in Florida are COVID - unemployed and can’t pay. On today’s sh…",1
" The President incites violence, inspires white-supremacist shooters, and his failed COVID response is costing thousands of li…",-1
 My daughters just called from college. They have been exposed to Covid. They are both sad and nervous and now might have to…,-1
Think about this - many of the BLM and Antifa who have been arrested and killed have criminal records. Are they prisoners who were released from prison due to Covid-19? My guess:  YES,-1
 Emergency ????????B+ve /AB+ve plasma required for covid patientDonatePlasmaSaveLives ,0
 Gandhi’s attack came on a day the JEE-Mains for admission to engineering colleges began amid stringent precautions and s…,0
  COVID-19 will pass. The government's expanded powers will stay ONLY if we the people allow it. Time to find your voice America! VoteGold2020 LetHerSpeak   spikethedebates ,0
 Video: It's not just Covid-19. Pathogens once confined to nature are making their way into humans on a more regular basis. And…,1
" UCL’s COVID19 Research platform reached a landmark moment this August as it recorded its 500th entry. Dr Paul Ayris, P…",0
 This is what is happening. This what Covid is all about. It didn’t happen by accident. If you don’t already know take 2…,0
" I completely agree with you, I have an 82 years grandma that I owe my life to and I am not risking her or my life and also I am in Canada not USA so its a bit better here. My concern is the inflation of number of deaths from 11,000 COVID deaths to 187, 000",1
 We’re recognizing team members across balladhealth whose tireless work “behind the scenes” during COVID19 has enabled o…,-1
Covid Sucks. Here's What This Entrepreneur Is Doing to Make Schools Safe.  ,1
" In March, if Arizonans had known that part of our state and economy would have remained shut down entering September, t…",-1
"  Over 183,000 American's dead because of your mishandling of COVID-19 and this is what you're worried about? You're pathetic! Deal with the real issues and stop trying to distract attention away from your incompetence.",-1
"Our piece this morning on how schools around the world are welcoming back students, many for the first time since the pandemic forced them to close months ago.    UK London England China France Germany Belgium Covid19 Covid Schools ",1
 MSU’s College of Veterinary Medicine is partnering with the Longest Student Health Center to ensure a fast turnaround on COVID…,1
 'Boris Johnson warns 'there is more wretched Covid still to come' What does he mean? He CANNOT possibly 'know' about…,1
" Numerous school districts, too, are feeling the effects of COVID-19 in OK. According to  at  ,…",1
"Thanks for the COVID vaccine, but can you say that in Estonian? ssonghainews ",1
" More on the COVID trouble in Iowa...""In places such as Polk, Story, Johnson and Linn counties, several officials complained t…",0
   There are lots of people seeking attention. They want to be famous for 5 minutes. There are millions of people who say they had Covid even though it was a cough or cold. I've got two relatives just like it. So annoying.,-1
"    The longer you lockdown, the longer covid goes on, the more people die.",1
    make up your mind. At first it we must follow CDC guidelines now when CDC relaxes…,1
 A 3rd club have forfeit their FA Cup place due to a positive Covid-19 test.Walsham Le Willows have withdrawn from toni…,1
"Don't expect Sunday COVID-19 data from  going forward. Sunday's numbers have been erratic, and the department plans to report them in combination with Monday's numbers on Monday.",0
"PAGE is supporting the implementation of the COVID-19 socio-economic impact study carried by the UN system in BurkinaFaso, to support greening of post-COVID-19 economic recovery of the country and BuildBackBetter. ",1
Also subscribe to your local paper  so that dumbasses like Terry Johnson aren’t able to kill people through negligence and get away with it. ,1
" If COVID-19 is so toxic, why hasn't it texted me ""wyd"" at 2am?",0
 Delighted to see  lead the way on the extension of paid statutory leave and forced parental leave to address is…,1
 COVID Update July 26: We can virtually eliminate the virus any time we decide to. 1/,0
 The Department of Health COVID19 dashboard has been updated with latest data on tests. 49 individuals have tested positiv…,1
"Happy Tuesday all! Where did the summer go, ey?Here’s a quick reminder to the selfemployed that applications to claim the second COVID support (SEISS) grant are now open.Find out how much you can claim with our handy calculator:  ",1
 Ezi Covid Free ?????? (Pty) Ltd,1
"What I took from this webinar is that; we have always been in a state of crisis, covid-19 just simply exposed the crisis that was already in existence. So there's still a lot that still needs to be done within our government, particularly the education sector.",1
  Could this be because they aren't playing many games because you dropped the ball on Covid and are stoking hatred and division and people are watching the NEWS instead of being placated by entertainment right now because you are trying to destroy this country?FailureInChief,1
"““I think there’s a big rush, a somewhat nationalistic rush and also somewhat capitalistic rush as well, to be absolutely first to register a vaccine, and it will actually make it more difficult to evaluate other vaccines,” ” ",1
What really baffles me is how Ms Palaszczuk justifies her border closures when Qld has cases of covid in that state too ??,1
 CDC ‘quietly modifying’ COVID death stats ,0
" Call 940-349-2585 to pre-register for DCPH's free drive-thru COVID-19 testing at UNT’s Discovery Park in Denton, offered thi…",1
Ant McPartlin and Declan Donnelly tested for COVID-19 every four days,0
 Coronavirus US: Over 90% fatalities had underlying conditions | Daily Mail Online6percent  ,0
 Reports: Trump’s chief advisor on COVID-19 is radiologist Scott Atlas ,0
" I'm joining parents, educators and students to demand COVID relief aid to make our schools safe and fund - not cut - public e…",1
" Congratulations! And thanks for all your help, laughter and encouragement over the years. Hope you can make the most of your 'freedom' even in the face of covid restrictions",1
" OMG... if I share this article, will I be suspended from Twitter for the facts it presents?",0
 Chronology????1. Demonetisation &amp; botched up GST killed growth. 2. Tax cuts put money in hands of corporates instead of…,-1
"    this is completely unacceptable in light of online based learning due to Covid-19, you have not done enough to aid students! Be on the side of your people and do something to help us!!! ",1
 Bolton is currently recording the second highest Covid rates in GM: around 45 cases per 100k. Tomorrow it comes out o…,0
 Coronavirus: This Wuhan woman is suing China - and wants an apology after her father died of COVID19 ,1
" ""The historic attacks of September 11 may seem to have little in common with the COVID-19 crisis. But 9/11, and the myste…",-1
" One week ago, first night of the GOP Convention, many of my GOP state senate colleagues watched the convention together…",1
 6%  If Covid testing in RSA is inaccurate as the USA we only have 849 deaths as of 1 Sept 2020. This is the biggest ac…,0
 Devastating...&amp; this comes day after CDC says only 6% of “Covid deaths” came from Covid alone...&amp; if this is happening a…,0
 It’s pretty incredible to see how many people don’t want to believe that the CDC was weaponized and would rather live in their…,1
   The  has done more for this country in a few months than you have in the 4 years in office.  The bubble is the best thing to happen since the Covid outbreak.,1
 So now the flu vaccine is part of COVID-19 prevention? ,0
" ""All The CSK Players and Support-staff Tested Negative for Covid-19 in DUBAI"" ??All will have to undergo another test on Sep…",-1
 The DOE &amp;  &amp;   have been permanently disabling kids educationally even before COVID80% of Black HS grads can't perform at 4th grade level. We spend $35 billion/yr on schools for this crappy outcome. It's not a funding issue. It's INCOMPETENCE,1
    See how the immediate cause of death is ARDS? So this person would be in the 94% number you quoted but they still died because of COVID-19. Essentially the 6% number is really more like incomplete cause of death reports on death certificate data. ,1
 JEEMain Ab to jaago sarkaar......... Why are u not listing the students....... Postpone the exams in covid......…,0
"  covid 19 vaccine :1..open (100 pharmacies for licensed produktion of streptomicyn sulfate,for a period ,of 5  years )...10ml blood group,remove the patient from the vein ,and add 50-100 grams of streptomicyn  sulfate (to that blood), and return the patient,s blood to the vein.",0
 Oh shit it’s Labor Day weekend lmao covid done made holidays obsolete,1
 6% of all casees of covid in the US were all the CDC can account for. The rest were made up to collect the bonus. Fake as shit. Now they are backpedaling. We should hang them in the streets.,-1
" Dear friends,Need A+ Plasma of a Covid-Recovered person for Balagam Sethamahalakshmi garu at Sunshine Hospital, Secunderab…",0
 if you're NOT afraid of getting Covid!!!??,1
 Women fight for release from Fort Worth prison. Some with COVID died while waiting.This is the same prison the DOJ is fi…,1
"More than 100 Doctors whom treated Covid-19 in Indonesia hospitals had passed away base on data September 1, 2020. The infected figure actually is more than 10 times published.      ",1
"As most of you already know, earlier this year  lost a friend and member to his mental health struggles. Greg was a funny guy, always looking to wind people up and have fun so we are organising a (covid safe) friendly, fancy dress tournament in his honour!",1
"Opinion | ""Given the specific deficiency in international law regarding climate refugees, the hybrid law approach (evolved from ‘policy-oriented jurisprudence’) can be engaged for their protection,"" writes M. Koshy Mammen.",0
 Do not take a COVID test they are CONTAMINATED..!,0
  Biden's team aren't all coming down with covid-19 like the Trump administration. Biden saved his teams live…,-1
 What it’s like working at the polls in the middle of a pandemic ,0
 They would’ve been taken care of COVID ,0
 Thousands of 50’s pensionless women are ill and forced into high risk COVID work - Millions Have caring roles and worked…,-1
 Please help one of my closest friends. Her dad is battling COVID and her family needs funding to pay for the hospital bills.…,0
 Dumbassvasta the entire world's gdp has contracted due to covid raa chutiyeChutiyevaasta,-1
" TUESDAY, SEPTEMBER 1st:??ONTARIO REGIONAL COVID-19 METRIC???? ONTARIO REGIONAL DATA??    ?? Rt’s with Confidence Intervals    ??…",0
 No mentioning of the rise of Covid in Europe while the decline of covid in the USA. Showing a stock of total cases makes n…,0
"We are pleased to announce we are gradually reopening our office ??. We are allowing customers to visit us again but you must make a pre-arranged appointment, please call before you leave home missedyou  ",1
There should be a proper contact tracing of Covid thefts....no one should be gagged from speaking the truth... Kenyans need to know what exactly happened.,1
" Does anyone know what in the hell is going on? The CDC announces less than 10,000 have actually died from Covid and this is…",-1
 Tell Raila odinga and the COvid Billionaires,0
  The woman who was coughed on just updated her Facebook status.Covid Karen is Lauren Balsamo and she works…,0
Wearing a mask to prevent/protect against COVID is about as effective as “duck and cover” was at protection from the a-bomb in the 50s. ,1
" Cats reacting to bad COVID-19 models, a short thread. [This is beneath me but I really need this right now let me have thi…",-1
"Orange County on verge of more business, school reopenings as COVID-19 numbers improve - Sep 1 @ 9:04 AM ET ",1
Haven’t touched my face in almost 6 months so the fact that COVID still exists is y’all’s fault,0
" ""American Clinical Research Needs to Step Up Its Game Against Covid-19"" An opinion piece by   publi…",-1
 Como van las vacunas ...Covid-19 Vaccines: What’s Coming and When? - WSJ ,0
 ??SHUTDOWN LYING GLOBALISTS AND THEIR VACCINES...NOT OUR ECONOMY AND SAFE TREATMENTS??,1
"Biñan COVID-19 Bulletin | As of 9PM of September 1, 2020 @ Biñan City ",0
 Saudi Arabia has kept hundreds of African migrants in deplorable conditions in detention camps to reportedly prevent t…,-1
" Israel restricting 2M Gazans to 4hrs electricity daily, harming quarantine facilities &amp; capacity of health system incl to dete…",0
 Our COVID-19 report is in today's  Disproportionately more UK people with dementia have caught and then died…,1
 Should  be sacked? Retweet after you answer please sackpiersmorgan Sacked gotthesack Covid_19,0
" In analyzing fault in accidents, the concept of proximate cause is commonly applied. That is, ""but for"" a certain action, the accident would not have occurred. Same is true here. But for covid, these people would not have died when they did.",1
"    ?? ?? ?? ??Celebrate, look what I found!",0
" speak up for ssc railway student     covid aur lockdown to aaj hue,  is system ne to 4_5 salo se jhela rkha h ,notifi…",0
"I didn’t want to say anything, but I got my covid test back and I don’t have covid, just bronchitis. Which is getting a lot better. Today was the first day I woke up with no wheezing sound! Was v scared bc I have the worlds shittiest lungs!",1
" 577,974 people in Scotland have been tested for coronavirusThe total confirmed as positive has risen by 154 to 20,632The…",1
 His father has again tested positive for Covid-19 while his brother and himself have already recovered. Any amount of donat…,1
 There will be a reckoning for all the medical experts who put politics ahead of science and common sense on COVID-19.,-1
" TrumpsAmerica What good will a COVID vaccine do when people are so jaded by Trump and his relentless push to find something that will save him? Nobody’s going to take that unproven vaccine, nobody! ",1
"Now criminal courts are back, no movement on mandatory minimums, no changes to Harper scale back of conditional sentences during pandemic, all heading into a fall covid-19 2nd wave.",-1
 i hope covid ends before christmas,0
 Remember that early-COVID-days debate on whether supply or demand shock would prevail on prices? This pretty much settles it…,1
  COVID VACCINE ,0
"These days, it seems what any one can talk about is the pandemic that has taken over the world — Coronavirus (COVID-19). Unfortunately, there has been an alarming number of confirmed cases of COVID-19 in Nigeria.This has translated to communities, busine  ",-1
" Dear friends, this is an EMERGENCY:B+ Plasma of a Covid-Recovered person required at Uday Omni Hospital, Hyderabad. Cont…",0
 COVID conspiracists have planned a protest on Melbourne’s city streets this Saturday. Victorian police say they will feel…,0
" ?? [FACTSHEET] As the world waits for an effective Covid-19 vaccine to be developed, the processes by which medicines are…",1
            ,0
 COVID-19 in Wisconsin: State reports lowest single-day case increase since June 23,0
 Hold my covid. ,0
 Matt Hancock has overruled local authorities to announce that people living in some Tory constituencies won't be subjec…,0
" We are learning that our biggest enemies are diabetes, high blood pressure and obesity.These are the silent killers th…",1
 An excellent summary of why ‘herd immunity’ would never work for Covid. The idea that the virus can ‘burn itself out’ i…,1
" Fresh off the CDC site ScamdemicIsOver “According to the report, only 6% of deaths have COVID-19 as the only cause menti…",1
"??????????-???? ???????? ????????(?????????? ???????????????? &amp; ?????????????? ??????????????) ???????? ?????????????????????? today, which helps in identifying potential COVID affected persons at early stage, thereby preventing poor villagers’ deathIndia Fights coronavirus ",-1
 ?????????Covid is a influensa typr cold. Some times it mutates strong. Around every 12 years we will all get it. Sometimes it mutates less or more. It happens and it will happen again again again. I'm glad trump is investing billions into resech to try and end influensa..,1
   That’s complete bull manure.Your administration has decreased testing for the express purpo…,-1
   When you get around to writing Light Entertainment Babylon -as I fervently hope you will - he’ll be worth a whole chapter. Here he is not commanding the SAS but as a member of an army motor mower unit - a sketch written by FM for the Thorpe Village Fete c. 1959  ,1
 I said last month that Texas wouldn’t have anymore lockdowns—despite demands from mayors &amp; county judges insisting on lo…,0
